class,precision,recall,f1-score,support
Normal,0.8,0.8108108108108109,0.8053691275167785,74.0
Astrocitoma,0.8125,0.5342465753424658,0.6446280991735537,73.0
Carcinoma,1.0,0.9655172413793104,0.9824561403508771,29.0
Ependimoma,0.64,0.8888888888888888,0.7441860465116279,18.0
Ganglioglioma,0.4666666666666667,1.0,0.6363636363636364,7.0
Germinoma,0.6153846153846154,0.8,0.6956521739130435,10.0
Glioblastoma,0.7727272727272727,0.7391304347826086,0.7555555555555555,23.0
Granuloma,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0
Meduloblastoma,0.7142857142857143,1.0,0.8333333333333334,15.0
Meningioma,0.9302325581395349,0.6611570247933884,0.7729468599033816,121.0
Neurocitoma,0.8,0.9836065573770492,0.8823529411764706,61.0
Oligodendroglioma,0.6511627906976745,0.875,0.7466666666666667,32.0
Papiloma,0.7878787878787878,0.8125,0.8,32.0
Schwannoma,0.7936507936507936,0.819672131147541,0.8064516129032258,61.0
Tuberculoma,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0
macro avg,0.739134013855628,0.8404143959354579,0.7723394033328312,585.0
weighted avg,0.8067724357979892,0.7846153846153846,0.7821615118560648,585.0
accuracy,0.7846153846153846,,,585.0
