idx,path,class_idx,class,group,kept_equalized
0,15_data_copy/Normal/102fc2900bac68fe61e7f446e636ea_big_gallery.jpeg,0,Normal,0,False
1,15_data_copy/Normal/101e0d1a071a034bc89a5e860ee1ad_big_gallery.jpeg,0,Normal,1,False
3,15_data_copy/Normal/0f43646be8dd8f9efff0daae7fed67_big_gallery.jpeg,0,Normal,3,False
4,15_data_copy/Normal/0f2da85a8272097226e7f352719028_big_gallery.jpeg,0,Normal,4,False
5,15_data_copy/Normal/0e66a91abb3c685eb0162351a22385_big_gallery.jpeg,0,Normal,5,False
6,15_data_copy/Normal/0d94b3ddc17a25bed1a500afea46a7_big_gallery.jpeg,0,Normal,6,False
7,15_data_copy/Normal/0d541e2ee69ec265d163b70cc15f59_big_gallery.jpeg,0,Normal,7,False
8,15_data_copy/Normal/0ccf3c967994229932b6894f010439_big_gallery.jpeg,0,Normal,8,False
9,15_data_copy/Normal/0c8c2658ce6f072ec207823e75f7c7_big_gallery.jpeg,0,Normal,9,True
10,15_data_copy/Normal/0c49e06c604a8d9d88ec4e24f70c75_big_gallery.jpeg,0,Normal,10,False
11,15_data_copy/Normal/0c04a1f73fa4666cfeb3c0f4ef272f_big_gallery.jpeg,0,Normal,11,False
13,15_data_copy/Normal/0b1affd66c5d9b629636d9a194a51a_big_gallery.jpeg,0,Normal,13,False
14,15_data_copy/Normal/0a39df42d8330b144ca6ef21fe7a19_big_gallery.jpeg,0,Normal,14,False
18,15_data_copy/Normal/06a1f57d06f00851926e9d19c082b5_big_gallery.jpeg,0,Normal,18,False
19,15_data_copy/Normal/05ffbd0397153a73ccc0b8f028e78b_big_gallery.jpeg,0,Normal,19,False
20,15_data_copy/Normal/05a82e8e2a2e8687bcb7eab95599c9_big_gallery.jpeg,0,Normal,20,False
22,15_data_copy/Normal/0536a45418dc43878f361085b40fc6_big_gallery.jpeg,0,Normal,22,False
23,15_data_copy/Normal/0507ee5d886665eaf9b59ab9b8bb78_big_gallery.jpeg,0,Normal,23,False
24,15_data_copy/Normal/04024298ac9373718c8a182dad6eb4_big_gallery.jpeg,0,Normal,24,False
26,15_data_copy/Normal/03a9560561f3e35f24f6ce62150e9e_big_gallery.jpeg,0,Normal,26,False
27,15_data_copy/Normal/02e7d2ead4cde2cb075b86925f2813_big_gallery.jpeg,0,Normal,27,False
29,15_data_copy/Normal/2022-06-13 09_37_59-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,29,False
31,15_data_copy/Normal/2022-06-13 09_37_57-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,31,False
32,15_data_copy/Normal/2022-06-13 09_37_56-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,32,False
33,15_data_copy/Normal/2022-06-13 09_37_55-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,33,False
34,15_data_copy/Normal/2022-06-13 09_37_54-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,34,False
38,15_data_copy/Normal/2022-06-13 09_37_50-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,38,False
39,15_data_copy/Normal/2022-06-13 09_37_49-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,39,True
40,15_data_copy/Normal/2022-06-13 09_37_48-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,40,False
41,15_data_copy/Normal/2022-06-13 09_37_47-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,41,False
42,15_data_copy/Normal/2022-06-13 09_37_46-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,42,False
44,15_data_copy/Normal/2022-06-13 09_37_44-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,44,False
45,15_data_copy/Normal/2022-06-13 09_37_43-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,45,True
46,15_data_copy/Normal/2022-06-13 09_37_42-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,46,False
47,15_data_copy/Normal/2022-06-13 09_37_40-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,47,False
48,15_data_copy/Normal/2022-06-13 09_37_29-Normal MRI brain _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,48,False
50,15_data_copy/Normal/2022-06-10 17_14_47-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,50,False
51,15_data_copy/Normal/2022-06-10 17_14_42-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,51,False
52,15_data_copy/Normal/2022-06-10 17_14_37-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,52,False
53,15_data_copy/Normal/2022-06-10 17_14_33-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,53,False
54,15_data_copy/Normal/2022-06-10 17_14_29-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,54,False
56,15_data_copy/Normal/2022-06-10 17_13_51-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,56,False
57,15_data_copy/Normal/2022-06-10 17_13_48-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,57,False
58,15_data_copy/Normal/2022-06-10 17_13_44-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,58,False
59,15_data_copy/Normal/2022-06-10 17_13_40-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,59,False
60,15_data_copy/Normal/2022-06-10 17_13_33-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,60,False
61,15_data_copy/Normal/2022-06-10 17_13_28-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,61,False
62,15_data_copy/Normal/2022-06-10 17_13_21-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,62,False
65,15_data_copy/Normal/2022-06-10 17_13_05-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,65,False
66,15_data_copy/Normal/2022-06-10 17_13_01-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,66,False
69,15_data_copy/Normal/2022-06-10 17_12_47-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,69,False
72,15_data_copy/Normal/2022-06-10 17_12_33-Normal MRI head - 3-years-old _ Radiology Case _ Radiopaedia.org.jpg,0,Normal,72,False
73,15_data_copy/Normal/200ec201c92b8df7848e6d6c8b320f_big_gallery.jpeg,0,Normal,73,False
74,15_data_copy/Normal/1e89969219f97453582ca5e3822efb_big_gallery.jpeg,0,Normal,74,False
75,15_data_copy/Normal/1de641005acfab5966872f77350957_big_gallery.jpeg,0,Normal,75,False
76,15_data_copy/Normal/1a9c1efffae5c637a610600f90d5ad_big_gallery.jpeg,0,Normal,76,False
77,15_data_copy/Normal/1a5541b8015fd46f1e71a4a6a14763_big_gallery.jpeg,0,Normal,77,False
78,15_data_copy/Normal/198e0068e17899062e38319096a615_big_gallery.jpeg,0,Normal,78,False
79,15_data_copy/Normal/192270b96fd39688ed166cb1640942_big_gallery.jpeg,0,Normal,79,False
80,15_data_copy/Normal/18b71fe99a6e2f44d5092860a60ee3_big_gallery.jpeg,0,Normal,80,False
81,15_data_copy/Normal/1890baa82a0a0e30647d04e5e2e1ff_big_gallery.jpeg,0,Normal,81,False
82,15_data_copy/Normal/1755eafa2e04341db5cd385c0a3732_big_gallery.jpeg,0,Normal,82,True
83,15_data_copy/Normal/16def81721ffbf4393677c10012d9c_big_gallery.jpeg,0,Normal,83,False
85,15_data_copy/Normal/155c84730b33917d3fd382426cd2c6_big_gallery.jpeg,0,Normal,85,False
86,15_data_copy/Normal/14a0ed32727b847833b120ad84dc56_big_gallery.jpeg,0,Normal,86,False
87,15_data_copy/Normal/1452291ab095e0525e8cbaf803190c_big_gallery.jpeg,0,Normal,87,False
88,15_data_copy/Normal/1322c012995b26e8d57a021c0a6dbb_big_gallery.jpeg,0,Normal,88,False
